id,title,content,document_type,department,regulation_id,effective_date,expiry_date,status,classification,version,language,tags,category,subcategory
REG-001,Basel III Capital Requirements - Tier 1 Capital,"Basel III establishes minimum capital requirements for banks. Common Equity Tier 1 (CET1) capital must be at least 4.5% of risk-weighted assets. Additional Tier 1 (AT1) capital must be at least 1.5% of risk-weighted assets. Total Tier 1 capital must be at least 6.0% of risk-weighted assets. Banks must also maintain a capital conservation buffer of 2.5% above the minimum requirements. The capital conservation buffer is designed to ensure that banks build up capital buffers outside periods of stress which can be drawn down as losses are incurred.",regulation,compliance,Basel-III-2023,2023-01-01,,active,internal,3.1,en,"capital-adequacy,risk-management,tier-1-capital",regulatory,capital_requirements
REG-002,Dodd-Frank Act - Volcker Rule Implementation,"The Volcker Rule prohibits banking entities from engaging in proprietary trading and limits their investments in hedge funds and private equity funds. Banking entities are prohibited from engaging in short-term proprietary trading of securities, derivatives, commodity futures and options for their own account. Banks may engage in certain permitted activities including underwriting, market making, risk-mitigating hedging, trading in government obligations, insurance company activities, and organizing and offering hedge funds or private equity funds. Compliance requires robust internal controls, reporting systems, and CEO attestation.",regulation,compliance,Dodd-Frank-2023,2023-01-01,,active,internal,2.0,en,"proprietary-trading,volcker-rule,hedge-funds",regulatory,trading_restrictions
REG-003,GDPR Compliance for Banking - Data Protection,"Under GDPR, banks must implement appropriate technical and organizational measures to ensure data security. Customer data must be processed lawfully, fairly, and transparently. Banks must obtain explicit consent for data processing, provide data portability rights, and honor the right to be forgotten. Personal data must be kept accurate and up to date. Data retention policies must be clearly defined and enforced. Banks must conduct Data Protection Impact Assessments (DPIAs) for high-risk processing activities. Breach notification must occur within 72 hours of discovery.",regulation,compliance,GDPR-2023,2023-01-01,,active,internal,1.5,en,"data-protection,privacy,gdpr,customer-data",regulatory,data_privacy
REG-004,Anti-Money Laundering (AML) Requirements,"Banks must establish and maintain an effective AML program including: (1) Internal policies, procedures, and controls; (2) Designation of a compliance officer; (3) Ongoing employee training program; (4) Independent audit function. Customer Due Diligence (CDD) must be performed for all accounts. Enhanced Due Diligence (EDD) is required for high-risk customers. Suspicious Activity Reports (SARs) must be filed within 30 days of detection. Currency Transaction Reports (CTRs) must be filed for transactions exceeding $10,000. Banks must maintain records for at least 5 years.",regulation,compliance,BSA-AML-2023,2023-01-01,,active,internal,4.0,en,"aml,kyc,suspicious-activity,cdd,edd",regulatory,aml_compliance
REG-005,Know Your Customer (KYC) Verification Standards,"KYC procedures must verify customer identity using reliable, independent source documents. Required information includes: full legal name, date of birth, residential address, and identification number (SSN, passport, etc.). For business accounts, additional requirements include: business name, principal place of business, EIN, and beneficial ownership information. Identity verification must occur before account opening. Ongoing monitoring is required to detect unusual activity. Customer information must be updated at least annually for high-risk customers and every 3 years for standard customers.",regulation,compliance,KYC-2023,2023-01-01,,active,internal,3.0,en,"kyc,customer-verification,identity,beneficial-ownership",regulatory,customer_onboarding
FAQ-001,Credit Card Rewards Program - Points Redemption,"Q: How do I redeem my credit card rewards points? A: You can redeem points through our mobile app, online banking, or by calling customer service. Points can be redeemed for: (1) Statement credits (10,000 points = $100); (2) Travel bookings through our portal; (3) Gift cards from partner merchants; (4) Merchandise from our rewards catalog; (5) Charitable donations. Points never expire as long as your account remains open and in good standing. Minimum redemption is 2,500 points. Points are typically credited within 2-3 business days for statement credits.",faq,customer_service,,,2024-01-01,,active,public,2.0,en,"rewards,points,redemption,credit-cards",credit_cards,rewards_program
FAQ-002,Mortgage Refinancing - Eligibility and Process,"Q: What are the requirements for mortgage refinancing? A: To qualify for refinancing, you need: (1) Credit score of 620 or higher; (2) Loan-to-value ratio of 80% or less; (3) Debt-to-income ratio below 43%; (4) Stable employment history (2+ years); (5) Sufficient income to support new payment. Required documents include: recent pay stubs (2 months), tax returns (2 years), current mortgage statement, and home appraisal. Current refinancing rates range from 6.25% to 6.75% APR for 30-year fixed mortgages. Processing time is typically 30-45 days. Closing costs range from 2% to 5% of loan amount.",faq,customer_service,,,2024-01-01,,active,public,3.0,en,"mortgage,refinancing,eligibility,interest-rates",mortgage,refinancing
FAQ-003,Wire Transfer - Fees and Processing Time,"Q: How long do wire transfers take and what are the fees? A: Domestic wire transfers are processed same-day if initiated before 3 PM EST and cost $25 for outgoing transfers. International wire transfers take 1-3 business days and cost $45 for outgoing transfers. Incoming wires are free. For security, first-time wire transfers over $10,000 have a 24-hour hold. You'll need: recipient's name, bank name, routing number (domestic) or SWIFT code (international), and account number. Wire transfers cannot be reversed once processed. For large amounts, we recommend splitting into multiple transfers or using ACH for lower fees.",faq,customer_service,,,2024-01-01,,active,public,1.0,en,"wire-transfer,fees,processing-time,international",payments,wire_transfers
FAQ-004,Checking Account - Overdraft Protection Options,"Q: What overdraft protection options are available? A: We offer three overdraft protection options: (1) Link to savings account - automatic transfer when checking is overdrawn, $10 fee per transfer; (2) Link to credit card - cash advance when overdrawn, standard cash advance fees apply; (3) Overdraft line of credit - pre-approved credit line, 18% APR on borrowed amount. Without protection, overdraft fees are $35 per transaction, maximum 3 fees per day ($105). You can opt out of overdraft coverage for ATM and debit card transactions. Standard overdraft coverage applies to checks and ACH transactions.",faq,customer_service,,,2024-01-01,,active,public,2.0,en,"overdraft,checking-account,fees,protection",checking,overdraft_protection
FAQ-005,Mobile Banking - Security Features and Setup,"Q: How secure is mobile banking and how do I set it up? A: Our mobile app uses bank-level 256-bit encryption, biometric authentication (fingerprint/face ID), and multi-factor authentication. To set up: (1) Download app from official app store; (2) Enter online banking credentials; (3) Verify identity with one-time code sent to registered phone/email; (4) Set up biometric login; (5) Enable push notifications for transaction alerts. Security features include: automatic logout after 5 minutes of inactivity, device registration, transaction limits, and real-time fraud monitoring. Never share your login credentials or one-time codes with anyone.",faq,customer_service,,,2024-01-01,,active,public,1.0,en,"mobile-banking,security,authentication,setup",digital_banking,mobile_app
